Region,InstanceType,CPU,Memory,Cost
ca-central-1,m5d.12xlarge,48,192 GiB,3.0240000000
ap-south-1,r6id.4xlarge,16,128 GiB,1.5392000000
ap-southeast-2,m5d.16xlarge,64,256 GiB,4.8420000000
us-east-1,c5.4xlarge,16,32 GiB,6.6800000000
us-west-1,r6i.8xlarge,32,256 GiB,6.0800000000
us-east-1,m6id.32xlarge,128,512 GiB,9.7568000000
us-west-1,c5a.8xlarge,32,64 GiB,2.2130000000
sa-east-1,u-6tb1.56xlarge,224,6144 GiB,100.9052800000
ap-northeast-3,m5.24xlarge,96,384 GiB,17.4720000000
eu-central-2,m6g.medium,1,4 GiB,0.0536000000
us-east-1,m6id.4xlarge,16,64 GiB,2.9641200000
sa-east-1,r4.large,2,15.25 GiB,0.2800000000
eu-west-2,r6gd.16xlarge,64,512 GiB,4.3264000000
ap-northeast-1,m5a.16xlarge,64,256 GiB,27.8220000000
us-east-1-phl-1,m5.xlarge,4,16 GiB,0.7200000000
ap-northeast-2,m4.10xlarge,40,160 GiB,3.1360000000
eu-central-1,c6id.32xlarge,128,256 GiB,22.8192000000
ap-southeast-2,u-6tb1.112xlarge,448,6144 GiB,119.1930000000
eu-west-1,c6in.12xlarge,48,96 GiB,3.3818400000
ap-southeast-2,x2iedn.4xlarge,16,512 GiB,4.8352500000
sa-east-1,c5.metal,96,192 GiB,6.2880000000
ap-southeast-1,r5b.metal,96,768 GiB,45.3984000000
eu-west-1,t3.xlarge,4,16 GiB,0.2624000000
eu-west-1,r5.4xlarge,16,128 GiB,1.3980000000
eu-north-1,c5d.xlarge,4,8 GiB,1.7080000000
us-west-2,r6idn.24xlarge,96,768 GiB,20.8987200000
us-west-1,m5zn.2xlarge,8,32 GiB,0.7708000000
ap-south-1,x2idn.metal,128,2048 GiB,29.1220000000
ap-northeast-1,r6in.metal,128,1024 GiB,13.5532800000
ap-southeast-1,c5ad.xlarge,4,8 GiB,1.7020000000
ca-central-1,i3en.2xlarge,8,64 GiB,1.9600000000
us-east-2,r6a.16xlarge,64,512 GiB,4.7104000000
us-west-2-lax-1,t3.medium,2,4 GiB,0.0499000000
us-east-1-scl-1,r5.2xlarge,8,64 GiB,0.8440000000
ap-southeast-2,r5.xlarge,4,32 GiB,0.3020000000
us-east-2,m6i.16xlarge,64,256 GiB,27.3792000000
us-gov-west-1,r6id.2xlarge,8,64 GiB,0.7268000000
eu-central-1,m6a.32xlarge,128,512 GiB,6.6240000000
us-east-1,c6a.32xlarge,128,256 GiB,7.5488000000
ap-northeast-2,p2.8xlarge,32,488 GiB,11.7200000000
ap-south-1,r5ad.8xlarge,32,256 GiB,13.4090000000
ap-northeast-1,r5n.4xlarge,16,128 GiB,1.5370000000
ap-northeast-2,r5.metal,96,768 GiB,8.9180000000
us-east-2,z1d.12xlarge,48,384 GiB,10.2240000000
ap-southeast-2,c5ad.xlarge,4,8 GiB,0.2940000000
us-east-1,r6a.large,2,16 GiB,0.1247400000
us-east-1,c5.9xlarge,36,72 GiB,2.2300000000
us-west-2,r6idn.metal,128,1024 GiB,12.5049600000
ca-central-1,m5d.4xlarge,16,64 GiB,2.9280000000
eu-west-2,r5b.2xlarge,8,64 GiB,0.9052000000
af-south-1,m5d.metal,96,384 GiB,7.2000000000
us-east-1,c6a.8xlarge,32,64 GiB,13.2240000000
ap-southeast-1,c6i.16xlarge,64,128 GiB,3.1360000000
us-gov-east-1,c6g.8xlarge,32,64 GiB,1.3056000000
us-west-2,c4.large,2,3.75 GiB,0.1100000000
eu-central-1,x2iedn.8xlarge,32,1024 GiB,21.3370000000
ap-east-1,m5d.metal,96,384 GiB,7.4400000000
eu-central-1,c3.8xlarge,32,60 GiB,2.0640000000
us-west-1,m6i.4xlarge,16,64 GiB,6.8960000000
ap-southeast-1,m5ad.24xlarge,96,384 GiB,7.8140000000
ap-northeast-1,m6in.metal,128,512 GiB,11.4566400000
ca-central-1,t4g.xlarge,4,16 GiB,0.1472000000
ap-northeast-1,m5d.8xlarge,32,128 GiB,6.3310000000
eu-south-1,c5.9xlarge,36,72 GiB,6.1380000000
sa-east-1,i4i.8xlarge,32,256 GiB,4.9230000000
us-gov-east-1,r5d.2xlarge,8,64 GiB,1.6520000000
ap-southeast-2,m6a.12xlarge,48,192 GiB,8.6112000000
ap-southeast-2,c3.4xlarge,16,30 GiB,3.0820000000
eu-west-3,m5.xlarge,4,16 GiB,0.2920000000
ap-southeast-2,c5a.2xlarge,8,16 GiB,0.5750000000
eu-west-1,r6idn.2xlarge,8,64 GiB,3.9575300000
eu-south-1,x2iedn.4xlarge,16,512 GiB,6.1201300000
eu-west-2,d3.xlarge,4,32 GiB,0.7040000000
ap-northeast-1,r5.xlarge,4,32 GiB,0.8020000000
ap-northeast-2,c6gn.medium,1,2 GiB,0.0487500000
eu-central-1,r5b.xlarge,4,32 GiB,0.4592000000
eu-west-2,c5d.9xlarge,36,72 GiB,15.5700000000
us-east-1,c6i.2xlarge,8,16 GiB,0.3740000000
eu-west-3,r6i.24xlarge,96,768 GiB,9.4368000000
sa-east-1,m5d.4xlarge,16,64 GiB,7.5230000000
eu-central-1,m5zn.3xlarge,12,48 GiB,1.5087000000
us-west-2,r5b.large,2,16 GiB,0.6439000000
us-gov-west-1,m5a.8xlarge,32,128 GiB,2.3990000000
us-gov-east-1,m5dn.metal,96,384 GiB,44.2080000000
ap-southeast-1,i3en.xlarge,4,32 GiB,1.0220000000
eu-central-2,m5.24xlarge,96,384 GiB,17.5920000000
ap-southeast-4,m5.xlarge,4,16 GiB,0.7440000000
eu-west-2,m5d.xlarge,4,16 GiB,0.2790000000
us-gov-east-1,c5n.4xlarge,16,42 GiB,2.9600000000
ca-central-1,i3en.metal,96,768 GiB,13.6220000000
us-west-2,i3.16xlarge,64,488 GiB,28.9920000000
eu-central-1,m5n.xlarge,4,16 GiB,0.3690000000
eu-north-1,r6gd.medium,1,8 GiB,0.0608000000
sa-east-1,m5.16xlarge,64,256 GiB,28.8960000000
us-west-2,r5ad.4xlarge,16,128 GiB,2.9680000000
ap-south-1,g4dn.8xlarge,32,128 GiB,2.3950000000
ca-central-1,u-6tb1.56xlarge,224,6144 GiB,50.8233300000
sa-east-1,m6a.metal,192,768 GiB,16.4640000000
us-gov-west-1,r6in.32xlarge,128,1024 GiB,61.4035200000
us-west-2,t3a.large,2,8 GiB,0.0752000000
us-west-1,r4.xlarge,4,30.5 GiB,0.7760000000
eu-west-1,t3a.2xlarge,8,32 GiB,0.4616000000
ap-northeast-1,m6i.metal,128,512 GiB,7.9360000000
ap-east-1,i3en.metal,96,768 GiB,50.3190000000
eu-central-2,r5d.4xlarge,16,128 GiB,3.4420000000
ap-east-1,c5d.4xlarge,16,32 GiB,1.0470000000
ap-northeast-1,c6i.8xlarge,32,64 GiB,5.5520000000
eu-west-2,c5d.24xlarge,96,192 GiB,5.8820000000
us-gov-east-1,r6i.2xlarge,8,64 GiB,0.7996000000
ap-east-1,r5.xlarge,4,32 GiB,0.3340000000
me-south-1,c5.18xlarge,72,144 GiB,30.8020000000
af-south-1,r5dn.2xlarge,8,64 GiB,0.8840000000
sa-east-1,r6i.16xlarge,64,512 GiB,7.5136000000
ap-east-1,d2.8xlarge,36,244 GiB,21.1560000000
ap-northeast-2,m6i.8xlarge,32,128 GiB,2.6176000000
us-east-2,c6a.xlarge,4,8 GiB,0.6483000000
ap-southeast-4,r5.2xlarge,8,64 GiB,0.7390000000
ca-central-1,r4.16xlarge,64,488 GiB,5.7536000000
ap-southeast-1,c5a.8xlarge,32,64 GiB,13.4080000000
us-east-2,c6id.4xlarge,16,32 GiB,1.1574400000
eu-north-1,x2idn.metal,128,2048 GiB,17.3742000000
eu-north-1,m5d.24xlarge,96,384 GiB,41.7600000000
ap-southeast-3,c5.2xlarge,8,16 GiB,3.4160000000
ap-northeast-3,i3en.3xlarge,12,96 GiB,6.1990000000
sa-east-1,c6i.8xlarge,32,64 GiB,6.1456000000
eu-west-2,r6g.large,2,16 GiB,0.1255000000
eu-west-3,t4g.nano,2,0.5 GiB,0.0047000000
ap-southeast-2,m6id.metal,128,512 GiB,24.9024000000
us-east-2,m6a.8xlarge,32,128 GiB,13.5206400000
ap-northeast-2,r5a.4xlarge,16,128 GiB,7.0880000000
us-west-1,r6i.16xlarge,64,512 GiB,12.6080000000
eu-west-2,c6in.16xlarge,64,128 GiB,28.3008000000
eu-west-1,g5.24xlarge,96,384 GiB,9.0911700000
ap-south-1,m6a.metal,192,768 GiB,5.3328000000
us-east-1,m6i.metal,128,512 GiB,8.3072000000
ap-south-2,m5.12xlarge,48,192 GiB,8.1840000000
ap-southeast-2,c5.xlarge,4,8 GiB,0.2900000000
ap-northeast-2,i2.2xlarge,8,61 GiB,5.0020000000
us-east-1-scl-1,c5.4xlarge,16,32 GiB,3.0200000000
eu-west-2,c5a.24xlarge,96,192 GiB,40.3680000000
us-east-1-dfw-1,r5d.4xlarge,16,128 GiB,7.4400000000
us-west-1,x2iedn.4xlarge,16,512 GiB,4.7685000000
us-west-2,c6i.12xlarge,48,96 GiB,2.8512000000
ap-east-1,g4dn.2xlarge,8,32 GiB,1.1580000000
us-west-2,r6idn.12xlarge,48,384 GiB,10.9183000000
us-gov-west-1,r5d.metal,96,768 GiB,8.3040000000
us-gov-east-1,m6i.8xlarge,32,128 GiB,2.1296000000
us-west-2,r5ad.8xlarge,32,256 GiB,5.9360000000
ap-southeast-2,r5n.metal,96,768 GiB,8.6880000000
eu-central-2,m6gd.metal,64,256 GiB,3.8368000000
eu-north-1,i3en.large,2,16 GiB,0.3050000000
ap-east-1,c6i.2xlarge,8,16 GiB,0.4752000000
eu-north-1-hel-1,t3.xlarge,4,16 GiB,0.6787000000
ap-northeast-2,m5a.4xlarge,16,64 GiB,1.1690000000
eu-west-1,z1d.xlarge,4,32 GiB,0.4160000000
ap-southeast-2,m6a.xlarge,4,16 GiB,0.3052000000
us-east-1,m5d.2xlarge,8,32 GiB,0.4520000000
af-south-1,m5d.4xlarge,16,64 GiB,7.2720000000
us-east-1,m6a.48xlarge,192,768 GiB,31.3344000000
eu-central-1,d3.2xlarge,8,64 GiB,1.3160000000
eu-west-2,c5a.2xlarge,8,16 GiB,0.5360000000
ca-central-1,r6g.12xlarge,48,384 GiB,2.6496000000
us-gov-west-1,c5.18xlarge,72,144 GiB,30.6720000000
eu-south-2,m5d.metal,96,384 GiB,6.0480000000
us-east-1,x1.16xlarge,64,976 GiB,6.6690000000
ap-south-1,c5.xlarge,4,8 GiB,0.1810000000
eu-north-1,r5dn.metal,96,768 GiB,8.4960000000
ap-northeast-1,c6i.32xlarge,128,256 GiB,6.8480000000
eu-central-1,r6a.16xlarge,64,512 GiB,12.0576000000
eu-north-1,g4dn.4xlarge,16,64 GiB,1.3540000000
us-east-1,r6a.xlarge,4,32 GiB,0.7068000000
us-gov-west-1,x2idn.32xlarge,128,2048 GiB,18.1692000000
ap-northeast-2,r5b.24xlarge,96,768 GiB,20.0640000000
eu-central-1,m4.large,2,8 GiB,0.1320000000
ap-northeast-2,c5n.9xlarge,36,96 GiB,2.1960000000
ap-northeast-1,c6a.2xlarge,8,16 GiB,0.5204000000
me-central-1,r5.metal,96,768 GiB,18.9650000000
ap-northeast-2,i4i.metal,128,1024 GiB,12.8830000000
ap-northeast-1,m5d.4xlarge,16,64 GiB,1.2450000000
ap-south-1,r6gd.xlarge,4,32 GiB,0.1584000000
ap-south-2,c6g.8xlarge,32,64 GiB,0.6816000000
af-south-1,c6i.4xlarge,16,32 GiB,6.9120000000
eu-west-1,m5zn.3xlarge,12,48 GiB,1.3074000000
sa-east-1,r5n.large,2,16 GiB,0.3040000000
ap-south-2,r5.4xlarge,16,128 GiB,3.0220000000
us-east-2,i4i.metal,128,1024 GiB,10.9820000000
us-west-1,t3.micro,2,1 GiB,0.0133000000
ap-east-1,r6i.2xlarge,8,64 GiB,0.8032000000
ap-east-1,i3en.6xlarge,24,192 GiB,3.8130000000
us-west-1,g4dn.8xlarge,32,128 GiB,2.6110000000
us-gov-west-1,r5.12xlarge,48,384 GiB,9.6010000000
ap-southeast-1,r6id.xlarge,4,32 GiB,0.3654000000
ap-southeast-4,r5.8xlarge,32,256 GiB,6.4010000000
us-east-1,r5a.8xlarge,32,256 GiB,1.8080000000
us-west-2,m4.xlarge,4,16 GiB,0.7000000000
eu-west-3,i3.xlarge,4,30.5 GiB,1.8980000000
ap-south-1,c5d.9xlarge,36,72 GiB,15.2820000000
us-west-2,r3.2xlarge,8,61 GiB,0.7320000000
us-west-2,c5n.xlarge,4,10.5 GiB,1.7160000000
af-south-1,t4g.medium,2,4 GiB,0.0434000000
eu-central-1,m3.2xlarge,8,30 GiB,1.6550000000
ap-south-1,c6a.metal,192,384 GiB,27.5280000000
ap-southeast-4,m5d.xlarge,4,16 GiB,1.7840000000
us-west-2,c5n.large,2,5.25 GiB,0.1760000000
eu-central-1,m5n.8xlarge,32,128 GiB,2.7970000000
ap-southeast-2,m5zn.12xlarge,48,192 GiB,5.4516000000
ap-northeast-2,i3.8xlarge,32,244 GiB,7.0610000000
eu-south-1,c5a.16xlarge,64,128 GiB,2.9120000000
ap-northeast-1,m6id.2xlarge,8,32 GiB,3.6132000000
ap-south-1,r5n.8xlarge,32,256 GiB,6.4350000000
ap-northeast-2,c6g.8xlarge,32,64 GiB,1.2320000000
ap-southeast-4,m6g.8xlarge,32,128 GiB,1.6282000000
us-east-2,m5zn.large,2,8 GiB,0.2328000000
ap-northeast-2,c5d.4xlarge,16,32 GiB,0.8800000000
ap-east-1,i3en.xlarge,4,32 GiB,1.0770000000
us-gov-east-1,r5a.4xlarge,16,128 GiB,3.0730000000
eu-central-1,r5n.24xlarge,96,768 GiB,10.1660000000
us-west-1,c5d.4xlarge,16,32 GiB,1.2930000000
us-east-2,m6i.24xlarge,96,384 GiB,40.6080000000
eu-south-1,r6i.12xlarge,48,384 GiB,3.5520000000
ap-east-1,x1.16xlarge,64,976 GiB,11.7020000000
us-east-1,c5d.24xlarge,96,192 GiB,16.1280000000
us-east-1,r5n.16xlarge,64,512 GiB,12.4480000000
ap-northeast-2,r5ad.24xlarge,96,768 GiB,9.6600000000
us-west-2,c5d.18xlarge,72,144 GiB,30.4560000000
ap-southeast-1,c5ad.large,2,4 GiB,0.1010000000
ap-southeast-1,r5.xlarge,4,32 GiB,0.3900000000
ap-southeast-2,m6a.32xlarge,128,512 GiB,9.0752000000
ap-northeast-1,m5.16xlarge,64,256 GiB,5.0500000000
us-east-2,r5b.metal,96,768 GiB,19.3872000000
eu-north-1,i4i.32xlarge,128,1024 GiB,59.4752000000
eu-west-1,m6a.24xlarge,96,384 GiB,16.6046400000
us-east-2,m7g.metal,64,256 GiB,2.6112000000
ap-northeast-1,c5n.2xlarge,8,21 GiB,3.5810000000
af-south-1,c5a.12xlarge,48,96 GiB,20.7190000000
ca-central-1,r5n.12xlarge,48,384 GiB,22.1470000000
us-east-1,m6idn.large,2,8 GiB,0.6550300000
ap-southeast-4,c5d.9xlarge,36,72 GiB,2.2680000000
us-east-1,c6id.2xlarge,8,16 GiB,3.4032000000
ap-northeast-2,m5zn.3xlarge,12,48 GiB,1.5426000000
eu-central-1,c5ad.2xlarge,8,16 GiB,3.4000000000
ap-northeast-1,r6i.12xlarge,48,384 GiB,9.4080000000
ap-south-1,r4.16xlarge,64,488 GiB,28.3840000000
ap-east-1,m5d.xlarge,4,16 GiB,0.3780000000
ap-northeast-1,r6i.large,2,16 GiB,0.2196000000
ap-southeast-2,r6id.metal,128,1024 GiB,59.1360000000
us-west-2,m3.xlarge,4,15 GiB,0.7750000000
eu-central-1,c5.4xlarge,16,32 GiB,6.8270000000
ap-southeast-2,m5a.8xlarge,32,128 GiB,2.3830000000
ap-southeast-2,u-3tb1.56xlarge,224,3072 GiB,36.5006000000
eu-north-1,c5d.metal,96,192 GiB,40.9920000000
eu-north-1,i3.2xlarge,8,61 GiB,0.7870000000
us-west-2,i3.metal,72,512 GiB,6.0740000000
eu-south-1,m6i.xlarge,4,16 GiB,1.7464000000
us-west-2-las-1,c5d.12xlarge,48,96 GiB,20.8800000000
eu-west-1,r5.16xlarge,64,512 GiB,5.5940000000
eu-central-1,c6a.24xlarge,96,192 GiB,4.6094400000
ap-southeast-2,r5a.16xlarge,64,512 GiB,12.2940000000
sa-east-1,m4.4xlarge,16,64 GiB,7.3992000000
us-west-2,c5n.large,2,5.25 GiB,0.5880000000
eu-central-1,m5dn.2xlarge,8,32 GiB,0.6480000000
eu-west-1,c6i.12xlarge,48,96 GiB,3.2188800000
us-east-2,m6in.2xlarge,8,32 GiB,3.5569200000
us-west-1,c5.18xlarge,72,144 GiB,12.4560000000
ap-northeast-1,z1d.large,2,16 GiB,0.2950000000
ap-south-1,x2iedn.32xlarge,128,4096 GiB,29.6872000000
ap-southeast-2,r6id.metal,128,1024 GiB,26.4960000000
us-east-2,x2iedn.24xlarge,96,3072 GiB,31.5270000000
ap-northeast-1,m6idn.12xlarge,48,192 GiB,10.6740000000
ap-northeast-1,c6i.16xlarge,64,128 GiB,4.5056000000
ca-central-1,r5n.xlarge,4,32 GiB,0.4130000000
us-gov-west-1,x1e.2xlarge,8,244 GiB,2.9600000000
ap-southeast-1,m5zn.xlarge,4,16 GiB,0.4130000000
eu-central-1,c3.8xlarge,32,60 GiB,15.5640000000
ap-northeast-3,c5.4xlarge,16,32 GiB,6.9070000000
ap-east-1,m5d.4xlarge,16,64 GiB,7.2400000000
ap-south-1,c6in.2xlarge,8,16 GiB,1.4136000000
eu-west-2,r5b.16xlarge,64,512 GiB,29.6000000000
ap-northeast-3,c4.2xlarge,8,15 GiB,1.5140000000
us-east-1,m6idn.8xlarge,32,128 GiB,14.5459200000
sa-east-1,c4.4xlarge,16,30 GiB,7.3640000000
us-west-1,c6gn.large,2,4 GiB,0.1080000000
ap-northeast-1,t3.micro,2,1 GiB,0.0821000000
us-east-2,i3.8xlarge,32,244 GiB,14.4960000000
us-west-2,x2iezn.12xlarge,48,1536 GiB,28.0080000000
us-west-1,c5d.9xlarge,36,72 GiB,6.4800000000
us-east-1,c6id.32xlarge,128,256 GiB,6.4512000000
us-east-1,m5.metal,96,384 GiB,6.2300000000
ap-southeast-1,r5a.4xlarge,16,128 GiB,3.0730000000
eu-central-1,r5a.16xlarge,64,512 GiB,12.3270000000
us-east-2,r5.16xlarge,64,512 GiB,5.1140000000
us-west-2,c6gd.12xlarge,48,96 GiB,1.8432000000
ap-northeast-1,r5ad.8xlarge,32,256 GiB,6.3840000000
eu-central-1,r6i.8xlarge,32,256 GiB,2.9728000000
ap-southeast-1,i4i.4xlarge,16,128 GiB,1.9160000000
me-south-1,c5d.9xlarge,36,72 GiB,2.9080000000
eu-south-1,m6i.xlarge,4,16 GiB,0.2240000000
ap-southeast-2,m5.4xlarge,16,64 GiB,7.0230000000
eu-west-1,m5n.xlarge,4,16 GiB,0.7460000000
us-east-1,m5.12xlarge,48,192 GiB,8.2040000000
us-east-2,m5n.24xlarge,96,384 GiB,5.7120000000
eu-north-1,m6i.4xlarge,16,64 GiB,0.8976000000
us-east-1,x1e.4xlarge,16,488 GiB,5.2560000000
ap-southeast-1,r5n.24xlarge,96,768 GiB,8.5440000000
eu-central-1,c6in.32xlarge,128,256 GiB,56.2656000000
ap-northeast-2,m5ad.24xlarge,96,384 GiB,8.0800000000
us-east-2,r6id.4xlarge,16,128 GiB,1.6009600000
ap-southeast-1,p2.8xlarge,32,488 GiB,15.1180000000
ap-south-2,c5.9xlarge,36,72 GiB,1.6220000000
ap-south-1,r6i.large,2,16 GiB,0.1300000000
ap-south-1,c6a.24xlarge,96,192 GiB,2.4684000000
eu-west-1,d3.xlarge,4,32 GiB,1.1500000000
ap-northeast-1,m5dn.2xlarge,8,32 GiB,3.7470000000
ap-northeast-1,inf1.xlarge,4,8 GiB,0.3760000000
eu-west-1,c6a.8xlarge,32,64 GiB,1.4446100000
ca-central-1,r5n.24xlarge,96,768 GiB,43.8240000000
us-east-2,d2.xlarge,4,30.5 GiB,0.7590000000
ap-east-1,r6i.large,2,16 GiB,0.6637000000
ap-south-2,m5.24xlarge,96,384 GiB,6.4700000000
ca-central-1,r5.2xlarge,8,64 GiB,1.5120000000
ap-south-1,x2iedn.16xlarge,64,2048 GiB,13.7620000000
ap-southeast-3,m6gd.12xlarge,48,192 GiB,2.8752000000
ap-southeast-2,c3.4xlarge,16,30 GiB,7.0560000000
us-west-2-pdx-1,r5d.2xlarge,8,64 GiB,1.7230000000
eu-west-3,i3en.2xlarge,8,64 GiB,1.1210000000
eu-west-2,r5a.4xlarge,16,128 GiB,1.3980000000
ap-northeast-1,m5.16xlarge,64,256 GiB,5.3130000000
af-south-1,c5a.24xlarge,96,192 GiB,16.4640000000
us-gov-west-1,x2iedn.32xlarge,128,4096 GiB,80.0120000000
ap-southeast-1,g5g.xlarge,4,8 GiB,0.5877000000
eu-west-1,i4i.8xlarge,32,256 GiB,7.1700000000
eu-west-1,r5.large,2,16 GiB,0.2170000000
af-south-1,c6in.24xlarge,96,192 GiB,19.5698900000
eu-west-1,u-12tb1.112xlarge,448,12288 GiB,129.7712000000
us-east-1,c5d.4xlarge,16,32 GiB,1.0380000000
eu-west-1,u-18tb1.112xlarge,448,18432 GiB,351.3000000000
us-gov-west-1,m4.2xlarge,8,32 GiB,3.5544000000
us-west-1,m5d.xlarge,4,16 GiB,0.2660000000
ca-central-1,t4g.medium,2,4 GiB,0.0368000000
ap-southeast-1,c7g.16xlarge,64,128 GiB,2.6656000000
us-west-2,x1e.4xlarge,16,488 GiB,5.5900000000
eu-central-1,r5n.xlarge,4,32 GiB,0.3560000000
eu-south-1,r5d.2xlarge,8,64 GiB,1.6320000000
us-west-2,r4.16xlarge,64,488 GiB,28.2560000000
us-east-2,c6id.4xlarge,16,32 GiB,2.7264000000
sa-east-1,c5.9xlarge,36,72 GiB,6.6780000000
eu-west-2,i3en.metal,96,768 GiB,12.6240000000
af-south-1,r5n.metal,96,768 GiB,9.5360000000
us-gov-west-1,r5d.24xlarge,96,768 GiB,9.9260000000
ap-southeast-1,r6in.2xlarge,8,64 GiB,1.7930400000
ap-southeast-2,x1e.xlarge,4,122 GiB,1.2090000000
ap-south-1,r5a.24xlarge,96,768 GiB,39.4320000000
ap-northeast-1,c5a.8xlarge,32,64 GiB,1.6900000000
ap-northeast-1,c6a.4xlarge,16,32 GiB,1.1178400000
eu-central-2,x2idn.32xlarge,128,2048 GiB,68.5414000000
ap-northeast-2,d2.2xlarge,8,61 GiB,4.6880000000
ap-southeast-1,r5ad.24xlarge,96,768 GiB,7.6320000000
eu-west-2,r5b.4xlarge,16,128 GiB,3.3200000000
ap-southeast-1,m5d.2xlarge,8,32 GiB,3.5990000000
ap-northeast-2,i4i.4xlarge,16,128 GiB,2.0420000000
eu-south-1,i4i.32xlarge,128,1024 GiB,60.7424000000
us-east-1,m5n.2xlarge,8,32 GiB,0.6110000000
me-central-1,r6g.large,2,16 GiB,0.1315000000
ap-southeast-2,c4.8xlarge,36,60 GiB,15.5800000000
us-west-2,r5.4xlarge,16,128 GiB,1.2780000000
us-gov-east-1,r5dn.12xlarge,48,384 GiB,4.8240000000
me-central-1,m5d.8xlarge,32,128 GiB,2.3510000000
ap-northeast-3,r5d.2xlarge,8,64 GiB,1.6980000000
ap-northeast-2,m5zn.metal,48,192 GiB,23.3592000000
us-east-2,u-6tb1.112xlarge,448,6144 GiB,222.6000000000
ap-southeast-1,r5a.8xlarge,32,256 GiB,2.3070000000
eu-west-3,i3en.6xlarge,24,192 GiB,12.3620000000
ap-southeast-1,r4.xlarge,4,30.5 GiB,0.4196000000
eu-north-1,r5dn.24xlarge,96,768 GiB,10.1184000000
us-west-2,m5zn.xlarge,4,16 GiB,1.8634000000
us-east-2,r6in.16xlarge,64,512 GiB,7.2180200000
eu-west-2,t4g.2xlarge,8,32 GiB,0.3008000000
us-gov-east-1,i3en.12xlarge,48,384 GiB,12.3120000000
ap-south-1,inf1.xlarge,4,8 GiB,1.7400000000
eu-central-1,r5b.12xlarge,48,384 GiB,5.5104000000
ap-southeast-1,m5a.24xlarge,96,384 GiB,5.5040000000
us-east-1,m5ad.xlarge,4,16 GiB,0.6860000000
eu-west-3,r6i.8xlarge,32,256 GiB,2.9088000000
ap-east-1,c6g.2xlarge,8,16 GiB,0.3440000000
sa-east-1,i3en.large,2,16 GiB,0.8400000000
eu-north-1,m5.24xlarge,96,384 GiB,6.5180000000
ap-southeast-1,m5dn.24xlarge,96,384 GiB,19.5360000000
eu-north-1,hpc6id.32xlarge,64,1024 GiB,6.0352000000
ap-northeast-2,r5d.24xlarge,96,768 GiB,8.3040000000
us-gov-west-1,m6i.24xlarge,96,384 GiB,8.0112000000
ca-central-1,c5.metal,96,192 GiB,6.0860000000
us-east-1-phl-1,c5d.4xlarge,16,32 GiB,1.2880000000
me-central-1,i3en.large,2,16 GiB,0.7730000000
eu-west-3,m5d.2xlarge,8,32 GiB,0.5280000000
ap-northeast-2,m6g.8xlarge,32,128 GiB,1.5040000000
us-west-2,c5n.large,2,5.25 GiB,0.5940000000
me-central-1,m6g.12xlarge,48,192 GiB,2.2704000000
eu-west-1,c6gn.12xlarge,48,96 GiB,2.5766400000
ap-southeast-4,i4i.xlarge,4,32 GiB,0.9330000000
ca-central-1,c6gn.8xlarge,32,64 GiB,1.6649600000
us-west-2,inf1.xlarge,4,8 GiB,0.7080000000
us-gov-west-1,r4.8xlarge,32,244 GiB,3.3568000000
us-east-2,r6a.32xlarge,128,1024 GiB,55.9833600000
eu-south-1,c5a.16xlarge,64,128 GiB,3.2030000000
eu-west-2,m6a.32xlarge,128,512 GiB,54.3936000000
us-gov-west-1,m2.xlarge,2,17.1 GiB,0.2930000000
ca-central-1,d3.8xlarge,32,256 GiB,4.8412300000
eu-north-1,c5d.24xlarge,96,192 GiB,6.6140000000
eu-west-2,c6in.32xlarge,128,256 GiB,23.9616000000
ap-northeast-3,m5d.16xlarge,64,256 GiB,28.9520000000
eu-west-1,r6i.4xlarge,16,128 GiB,3.0480000000
af-south-1,r5.8xlarge,32,256 GiB,2.8490000000
ca-central-1,r5a.2xlarge,8,64 GiB,3.4960000000
us-gov-west-1,c6id.24xlarge,96,192 GiB,7.4688000000
ap-east-1,m6i.16xlarge,64,256 GiB,4.6464000000
eu-south-1,m5a.xlarge,4,16 GiB,1.7140000000
ap-southeast-1,r5a.24xlarge,96,768 GiB,8.1500000000
eu-north-1,m6i.16xlarge,64,256 GiB,27.5904000000
ap-southeast-1,c6i.8xlarge,32,64 GiB,1.7248000000
eu-north-1,r5.12xlarge,48,384 GiB,4.0270000000
eu-west-2,r5n.4xlarge,16,128 GiB,7.4000000000
ap-northeast-2,i3.metal,72,512 GiB,5.8560000000
us-west-2,r5n.8xlarge,32,256 GiB,6.3670000000
eu-north-1,m6i.xlarge,4,16 GiB,0.6840000000
ap-northeast-3,i4i.metal,128,1024 GiB,60.8830000000
ap-southeast-1,u-9tb1.112xlarge,448,9216 GiB,266.8000000000
us-west-2,m5dn.metal,96,384 GiB,6.5280000000
us-gov-west-1,r5dn.4xlarge,16,128 GiB,3.6240000000
us-west-2-las-1,g4dn.2xlarge,8,32 GiB,1.0760000000
af-south-1,x1e.16xlarge,64,1952 GiB,20.9440000000
us-gov-west-1,r5a.4xlarge,16,128 GiB,7.1530000000
eu-south-2,m5d.24xlarge,96,384 GiB,6.0480000000
ap-southeast-1,c5n.4xlarge,16,42 GiB,1.3260000000
me-south-1,c5ad.16xlarge,64,128 GiB,27.8020000000
us-east-1,c5n.xlarge,4,10.5 GiB,0.2160000000
af-south-1,c5.24xlarge,96,192 GiB,5.8000000000
ap-east-1,i3.8xlarge,32,244 GiB,7.4660000000
