Region,InstanceType,CPU,Memory,Cost
eu-west-3,m5.16xlarge,64,256 GiB,3.5840000000
ca-central-1,i3.8xlarge,32,244 GiB,3.5680000000
me-central-1,r5.xlarge,4,32 GiB,0.7900000000
eu-west-1,m5ad.12xlarge,48,192 GiB,3.7560000000
eu-north-1,c6g.16xlarge,64,128 GiB,2.3360000000
us-gov-west-1,c6in.32xlarge,128,256 GiB,8.7360000000
eu-central-1,r5dn.24xlarge,96,768 GiB,45.5520000000
us-gov-east-1,m5d.12xlarge,48,192 GiB,21.4320000000
ap-southeast-2,t3.2xlarge,8,32 GiB,1.4097000000
eu-south-1,c5ad.large,2,4 GiB,0.5930000000
ap-south-1,c5d.12xlarge,48,96 GiB,8.2790000000
sa-east-1,r5ad.xlarge,4,32 GiB,0.4160000000
af-south-1,r5d.large,2,16 GiB,0.6700000000
ap-southeast-3,m6i.32xlarge,128,512 GiB,9.8432000000
me-south-1,m6i.xlarge,4,16 GiB,1.7640000000
ap-south-1,m5ad.16xlarge,64,256 GiB,26.1470000000
ca-central-1,i3en.24xlarge,96,768 GiB,12.0000000000
us-east-1,x2iedn.2xlarge,8,256 GiB,1.8339800000
us-west-2,c5n.xlarge,4,10.5 GiB,0.2290000000
us-gov-west-1,r5d.xlarge,4,32 GiB,0.3670000000
eu-central-1,d3.8xlarge,32,256 GiB,9.6309300000
ap-southeast-1,r5b.metal,96,768 GiB,8.5440000000
us-west-2,r5dn.16xlarge,64,512 GiB,29.6650000000
us-west-1,z1d.3xlarge,12,96 GiB,5.8430000000
ap-southeast-1,i3en.3xlarge,12,96 GiB,1.8290000000
af-south-1,m6i.metal,128,512 GiB,8.1280000000
us-west-2,m3.large,2,7.5 GiB,0.1460000000
me-south-1-mct-1,c5.2xlarge,8,16 GiB,3.4860000000
us-west-1,c5d.xlarge,4,8 GiB,0.2560000000
ap-south-1,m6i.24xlarge,96,384 GiB,16.8528000000
ap-southeast-2,c5d.large,2,4 GiB,0.6140000000
ca-central-1,x2iedn.16xlarge,64,2048 GiB,14.6720000000
eu-west-2,m5.xlarge,4,16 GiB,0.7020000000
us-east-1,c6id.2xlarge,8,16 GiB,3.4435200000
us-east-1,x2iedn.32xlarge,128,4096 GiB,42.0360000000
eu-central-2,r5d.24xlarge,96,768 GiB,45.1340000000
us-east-1-chi-1,r5d.4xlarge,16,128 GiB,3.4460000000
me-south-1,i3.4xlarge,16,122 GiB,7.5140000000
us-gov-east-1,m5a.2xlarge,8,32 GiB,3.4360000000
ap-northeast-3,c5n.4xlarge,16,42 GiB,3.0080000000
ap-northeast-1,r3.large,2,15.25 GiB,0.7000000000
ap-southeast-1,r6idn.metal,128,1024 GiB,17.1392000000
us-west-1,x2iedn.16xlarge,64,2048 GiB,41.3400000000
ap-southeast-2,c5a.xlarge,4,8 GiB,0.2680000000
eu-south-1,t3a.large,2,8 GiB,0.0862000000
eu-west-1,m5n.12xlarge,48,192 GiB,9.1660000000
af-south-1,m5d.12xlarge,48,192 GiB,9.3600000000
ap-southeast-1,r5.large,2,16 GiB,0.2200000000
us-west-1,c6i.xlarge,4,8 GiB,1.7332000000
us-east-1,x1e.16xlarge,64,1952 GiB,22.3580000000
us-east-1,r5n.24xlarge,96,768 GiB,43.1520000000
us-gov-east-1,t3a.xlarge,4,16 GiB,0.6557000000
ap-southeast-2,c3.xlarge,4,7.5 GiB,0.7440000000
ap-southeast-2,m5zn.xlarge,4,16 GiB,1.9130000000
us-gov-west-1,c6in.4xlarge,16,32 GiB,7.0920000000
ap-southeast-1,c5.metal,96,192 GiB,16.2240000000
us-gov-west-1,x2idn.16xlarge,64,1024 GiB,8.8033000000
ap-southeast-1,m6idn.16xlarge,64,256 GiB,6.8777300000
eu-central-1,c6in.8xlarge,32,64 GiB,5.9064000000
us-west-2,d3en.6xlarge,24,96 GiB,3.1540000000
us-west-2,c6gn.medium,1,2 GiB,0.0432000000
us-east-1-wl1,t3.xlarge,4,16 GiB,0.2240000000
us-east-2,m6gd.xlarge,4,16 GiB,0.1808000000
eu-west-3,t3.small,2,2 GiB,0.0912000000
us-east-2,c6id.metal,128,256 GiB,6.4512000000
eu-west-1,m5.8xlarge,32,128 GiB,5.5520000000
us-gov-west-1,x1e.32xlarge,128,3904 GiB,34.1630000000
us-east-1,r5a.8xlarge,32,256 GiB,13.9170000000
ap-northeast-1,c6g.metal,64,128 GiB,2.9036000000
sa-east-1,r6gd.xlarge,4,32 GiB,0.3867000000
ap-south-1,c5d.24xlarge,96,192 GiB,16.2720000000
us-gov-east-1,r6i.16xlarge,64,512 GiB,29.3152000000
ap-southeast-3,m6i.2xlarge,8,32 GiB,0.4800000000
ap-south-2,x2iedn.metal,128,4096 GiB,42.8840000000
us-west-2,r7g.16xlarge,64,512 GiB,3.4272000000
ap-northeast-3,c4.large,2,3.75 GiB,0.6060000000
us-gov-west-1,c5a.large,2,4 GiB,0.1690000000
